user,movie,rating
U1,Movie A,5
U1,Movie B,4
U1,Movie C,0
U1,Movie D,2
U1,Movie E,3
U1,Movie F,0
U1,Movie G,4
U1,Movie H,0
U2,Movie A,4
U2,Movie B,5
U2,Movie C,1
U2,Movie D,0
U2,Movie E,4
U2,Movie F,2
U2,Movie G,0
U2,Movie H,3
U3,Movie A,2
U3,Movie B,1
U3,Movie C,5
U3,Movie D,4
U3,Movie E,0
U3,Movie F,5
U3,Movie G,3
U3,Movie H,0
U4,Movie A,0
U4,Movie B,2
U4,Movie C,4
U4,Movie D,5
U4,Movie E,3
U4,Movie F,0
U4,Movie G,4
U4,Movie H,5
U5,Movie A,3
U5,Movie B,4
U5,Movie C,0
U5,Movie D,3
U5,Movie E,5
U5,Movie F,4
U5,Movie G,0
U5,Movie H,2
U6,Movie A,5
U6,Movie B,0
U6,Movie C,4
U6,Movie D,0
U6,Movie E,3
U6,Movie F,5
U6,Movie G,2
U6,Movie H,4
U7,Movie A,4
U7,Movie B,3
U7,Movie C,5
U7,Movie D,0
U7,Movie E,4
U7,Movie F,2
U7,Movie G,5
U7,Movie H,0
U8,Movie A,2
U8,Movie B,0
U8,Movie C,3
U8,Movie D,4
U8,Movie E,5
U8,Movie F,4
U8,Movie G,0
U8,Movie H,3
U9,Movie A,5
U9,Movie B,4
U9,Movie C,2
U9,Movie D,0
U9,Movie E,0
U9,Movie F,5
U9,Movie G,4
U9,Movie H,3
U10,Movie A,3
U10,Movie B,5
U10,Movie C,4
U10,Movie D,2
U10,Movie E,0
U10,Movie F,3
U10,Movie G,5
U10,Movie H,0
